Age,Brands,Cilinder,Color,Currency,Engine,Fuel_type,KM,Location,Models,Price,Transmission,Upholstery,Urlpic,Version,Year
4.0,MINI,4.0,otros,USD,1498.0,gasolina,8900.0,Lima,HATCH JCW,23900.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/709781/709781_8264718.webp,4x2,2020.0
2.0,BMW,4.0,negro,USD,2000.0,gasolina,24000.0,Lima,X3 20i,49900.0,automatica_secuencial,cuero,https://cde.neoauto.pe/autos_usados/360x240/463366/463366_5016252.webp,posterior,2022.0
0.0,MINI,4.0,blanco,USD,1998.0,gasolina,5031.0,Lima,CONVERTIBLE,42991.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/208604/208604_6819094.webp,delantera,2024.0
1.0,HYUNDAI,4.0,negro,USD,2400.0,gasolina,26100.0,Lima,SANTA FE,31500.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/358152/358152_2313809.webp,4x2,2023.0
6.0,MERCEDES BENZ,4.0,plata,USD,2000.0,gasolina,55179.0,Lima,C-200,22900.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/237418/237418_9743986.webp,4x2,2018.0
1.0,CHERY,4.0,gris,USD,1500.0,gasolina,3459.0,Lima,TIGGO 8,21500.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/358152/358152_1627148.webp,4x2,2023.0
5.0,FORD,8.0,azul,USD,5000.0,gasolina,61610.0,Lima,F-150,30000.0,automatica,cuero,https://cde.neoauto.pe/autos_usados/360x240/358152/358152_2517096.webp,4x4,2019.0
4.0,KIA,4.0,gris,USD,2000.0,gasolina,67728.0,Lima,SPORTAGE,19100.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/619774/619774_4742657.webp,4x2,2020.0
9.0,KIA,6.0,gris,USD,3470.0,gasolina,150000.0,Provincias,SORENTO,19000.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/741209/741209_4133245.webp,premium,2015.0
6.0,VOLKSWAGEN,4.0,otros,USD,1400.0,gasolina,43228.0,Lima,TIGUAN ALLSPACE,22500.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/358152/358152_5531516.webp,otros,2018.0
12.0,SEAT,4.0,plata,USD,,gasolina,66537.0,Lima,LEON STYLE 1.6 MEC,9500.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/735044/735044_8128587.webp,4x2,2012.0
