Brand,Model,Version,Currency,Price,urlpic,Year,KM,Gastype,Transmision,Location
Chery,Tiggo 2 PRO,1.5L Full,USD,"u$s8,800",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chery/tiggo-2-pro/pe/RT_PU_6496777310734a5b80784d6ff7b25f49.webp,2022,82000 km,gasolina,manual 6 velocidades,Lima |Lima
Daewoo,Damas Van,"Van Std A-A L3,0.8,6v S 2 3",USD,"u$s4,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/daewoo/damas-van/pe/RT_PU_d723173e50ae4391875fe6231fca0f24.webp,2000,315500 km,gasolina,manual 6 velocidades,Lima |Lima
Toyota,Rav4,2.0 4x2,USD,"u$s28,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/rav4/pe/RT_PU_2bdb14f9a56c41dbbae9b7094076cb53.webp,2020,57000 km,gasolina,manual 6 velocidades,Lima |Lima
JAC,Refine,2.0L Luxury,USD,"u$s15,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jac/refine/pe/RT_PU_cd49cd02ac284474a9434740377e8fc7.webp,2022,52000 km,gasolina,manual 6 velocidades,Lima |Lima
Nissan,Versa,Advance CVT,USD,"u$s14,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/nissan/versa/pe/RT_PU_8d36a7e998b34de2ab230ce7f2208a47.webp,2022,38200 km,gasolina,manual 6 velocidades,Lima |Lima
Mercedes Benz,Clase C,180,USD,"u$s11,900",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mercedes-benz/clase-c/pe/RT_PU_c9c12ae00e484058b3665be56e100c2b.webp,2012,113600 km,gasolina,manual 6 velocidades,Lima |Lima
Chevrolet,Prisma,1.4L LTZ,USD,"u$s9,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chevrolet/prisma/pe/RT_PU_6d188f3e9d154d32966070995413ebfc.webp,2018,87000 km,gasolina,manual 6 velocidades,Lima |Lima
KIA,Rio,1.4L LX Full,PEN,"$10,300",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/rio/pe/RT_PU_144bfc2934a3424aba99722dbf15de78.webp,2018,72500 km,gasolina,manual 6 velocidades,Lima |Lima
JAC,Refine,2.0L Comfort,PEN,"$17,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jac/refine/pe/RT_PU_c281f2e45140405bb24fc22c888e2084.webp,2023,54100 km,gasolina,manual 6 velocidades,Lima |Lima
Toyota,Hilux,2.8L Tdi 4x4 CD SRV,PEN,"$24,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/hilux/pe/RT_PU_df9094417c784807a8495cc6b55c7799.webp,2017,144000 km,gasolina,manual 6 velocidades,Lima |Lima
